id;nm_demandante;cpf;cd_tipo_demandante;cd_atendimento;sexo;active
1;Account Soft;Account;50985;88701;Masculino;false
2;XSS;Buckinghamshire Engineer;97584;44802;Masculino;false
3;mindshare;parsing Versatile cross-platform;65993;27718;Outros;true
4;Supervisor transmitter;Delaware JSON transmit;20354;37698;Outros;true
5;Iowa;niches Agent;17867;62592;Feminino;false
6;Crescent hard;static;42160;66268;Feminino;false
7;toolset Customer;Shirt Quetzal strategic;18718;72402;Feminino;false
8;magnetic;evolve;88780;84691;Masculino;true
9;Handcrafted hacking;Avon e-tailers Internal;34021;11141;Feminino;false
10;Frozen Ethiopian;SSL navigating;22127;48824;Outros;false
